step,cells_count,hierarchy_depth,agents_time
1,5,1,2.6271839141845703
2,5,1,1.612281322479248
3,5,1,2.5235238075256348
4,5,1,2.6242196559906006
5,5,1,2.651543378829956
6,5,1,2.932524919509888
7,5,1,2.9050850868225098
8,5,1,2.834347724914551
9,5,1,2.51673436164856
10,5,1,2.5542232990264893
11,5,1,2.522355556488037
12,5,1,2.532997369766236
13,5,1,2.5375185012817383
14,5,1,2.52475905418396
15,5,1,2.672543525695801
16,5,1,2.5202620029449463
17,5,1,2.5093822479248047
18,5,1,2.531202554702759
19,5,1,2.6299822330474854
20,5,1,2.5253612995147705
21,5,1,2.5337765216827397
22,5,1,2.6172189712524414
23,5,1,2.517362117767334
24,5,1,2.5279366970062256
25,5,1,2.631408452987671
26,5,1,2.5251080989837646
27,5,1,2.5133321285247803
28,5,1,2.5535004138946533
29,5,1,2.649228572845459
30,5,1,2.5308187007904053
31,5,1,2.528778314590454
32,5,1,2.51636290550232
33,5,1,2.628845691680908
34,5,1,2.5219593048095703
35,5,1,2.524586677551269
36,5,1,2.5340023040771484
37,5,1,2.6292452812194824
38,5,1,2.518592119216919
39,5,1,2.51582145690918
40,5,1,2.6223936080932617
41,5,1,2.5118067264556885
42,5,1,2.516183376312256
43,5,1,2.6232354640960693
44,5,1,2.5135650634765625
45,5,1,2.5564801692962646
46,5,1,2.5225441455841064
47,5,1,2.655938148498535
48,5,1,2.524899244308472
49,5,1,2.5474510192871094
50,5,1,2.521727561950684
51,5,1,2.628258466720581
52,5,1,2.541984796524048
53,5,1,2.5415942668914795
54,5,1,2.65844988822937
55,5,1,2.556344509124756
56,5,1,2.54803204536438
57,5,1,2.6779720783233643
58,5,1,2.5541138648986816
59,5,1,2.511574506759644
60,5,1,2.5274579524993896
61,5,1,2.637669801712036
62,5,1,2.5249311923980717
63,5,1,2.544964551925659
64,5,1,2.627161026000977
65,5,1,2.55521821975708
66,5,1,2.537132740020752
67,5,1,2.5856378078460693
68,5,1,2.678767681121826
69,5,1,2.552022933959961
70,5,1,2.541477680206299
71,5,1,2.551991701126098
72,5,1,2.57413911819458
73,5,1,2.5738778114318848
74,5,1,2.680006265640259
75,5,1,2.557983636856079
76,5,1,2.577267408370972
77,5,1,2.582495212554932
78,5,1,2.5619313716888428
79,5,1,2.65824818611145
80,5,1,2.70797061920166
81,5,1,2.5551319122314453
82,5,1,2.554296493530273
83,5,1,2.552135705947876
84,5,1,2.5338852405548096
85,5,1,3.0384137630462646
86,5,1,3.0404574871063232
87,5,1,2.518887996673584
88,5,1,2.536754846572876
89,5,1,2.628242015838623
90,5,1,2.571042537689209
91,5,1,2.5623135566711426
92,5,1,2.65067982673645
93,5,1,2.667241334915161
94,5,1,2.534544944763184
95,5,1,2.599958896636963
96,5,1,2.640601873397827
97,5,1,2.541414260864258
98,5,1,2.533587455749512
99,5,1,2.532994747161865
100,5,1,2.5487637519836426
101,5,1,2.5577049255371094
102,5,1,2.6610074043273926
103,5,1,2.6870810985565186
104,5,1,2.533090353012085
105,5,1,2.5526857376098637
106,5,1,2.548326253890991
107,5,1,2.523112297058105
108,5,1,2.551589012145996
109,5,1,2.553628206253052
110,5,1,2.530874013900757
111,5,1,2.5481553077697754
112,5,1,2.5338823795318604
113,5,1,2.539114475250244
114,5,1,2.555649280548096
115,5,1,2.5572550296783447
116,5,1,2.543668508529663
117,5,1,2.5569334030151367
118,5,1,2.5520386695861816
119,5,1,2.5638792514801025
120,5,1,2.5510494709014893
121,5,1,2.5628933906555176
122,5,1,2.560224771499634
123,5,1,2.5329067707061768
124,5,1,2.531127452850342
125,5,1,2.722986459732056
126,5,1,2.55995512008667
127,5,1,2.5304951667785645
128,5,1,2.518083095550537
129,5,1,2.5425679683685303
130,5,1,2.572413682937622
131,5,1,2.5594418048858643
132,5,1,2.5273332595825195
133,5,1,2.5503363609313965
134,5,1,2.5121729373931885
135,5,1,2.6208183765411377
136,5,1,2.8939614295959477
137,5,1,2.9146616458892822
138,5,1,2.761009931564331
139,5,1,2.5289430618286133
140,5,1,2.5098259449005127
141,5,1,2.533738613128662
142,5,1,2.662593126296997
143,5,1,2.5159544944763184
144,5,1,2.524776697158813
145,5,1,2.628953695297241
146,5,1,2.519203186035156
147,5,1,2.534601211547852
148,5,1,2.651218175888061
149,5,1,2.5995535850524902
150,5,1,2.617848873138428
151,5,1,2.636218309402466
152,5,1,2.716351270675659
153,5,1,2.6066505908966064
154,5,1,2.5839805603027344
155,5,1,2.612790107727051
156,5,1,2.714320182800293
157,5,1,2.569932699203491
158,5,1,2.563673496246338
159,5,1,2.527761220932007
160,5,1,2.6342926025390625
161,5,1,2.5339722633361816
162,5,1,2.5321805477142334
163,5,1,2.550583600997925
164,5,1,2.659555196762085
165,5,1,2.5454556941986084
166,5,1,2.5450990200042725
167,5,1,2.530903577804565
168,5,1,2.6376068592071533
169,5,1,2.5332553386688232
170,5,1,2.5283637046813965
171,5,1,2.5224883556365967
172,5,1,2.622108697891236
173,5,1,2.5462467670440674
174,5,1,2.551933526992798
175,5,1,2.679302215576172
176,5,1,2.5321106910705566
177,5,1,2.5222976207733154
178,5,1,2.631718873977661
179,5,1,2.537195205688477
180,5,1,2.54754376411438
181,5,1,2.6400744915008545
182,5,1,2.541642427444458
183,5,1,2.534193992614746
184,5,1,2.6403515338897705
185,5,1,2.5300073623657227
186,5,1,2.545334577560425
187,5,1,2.5268101692199707
188,5,1,2.527266263961792
189,5,1,2.66430139541626
190,5,1,2.5446698665618896
191,5,1,2.572934150695801
192,5,1,2.6639633178710938
1,5,1,2.578946113586426
2,5,1,1.6013247966766355
3,5,1,2.5156729221343994
4,5,1,2.5070035457611084
5,5,1,2.622612237930298
6,5,1,2.524430274963379
7,5,1,2.516932249069214
8,5,1,2.6324610710144043
9,5,1,2.522862911224365
10,5,1,2.516770362854004
11,5,1,2.493271350860596
12,5,1,2.495558261871338
13,5,1,2.5126450061798096
14,5,1,2.6165101528167725
15,5,1,2.498105764389038
16,5,1,2.5093579292297363
17,5,1,2.4978182315826416
18,5,1,2.604673385620117
19,5,1,2.513631582260132
20,5,1,2.5498507022857666
21,5,1,2.636688709259033
22,5,1,2.506300449371338
23,5,1,2.495445489883423
24,5,1,2.5015869140625
25,5,1,2.625164031982422
26,5,1,2.534950256347656
27,5,1,2.5135397911071777
28,5,1,2.626777410507202
29,5,1,2.5136539936065674
30,5,1,2.508894205093384
31,5,1,2.645005464553833
32,5,1,2.519576072692871
33,5,1,2.532184839248657
34,5,1,2.6419007778167725
35,5,1,2.522324562072754
36,5,1,2.509928941726685
37,5,1,2.641059875488281
38,5,1,2.5468854904174805
39,5,1,2.5604891777038574
40,5,1,2.843865394592285
41,5,1,2.7488250732421875
42,5,1,2.514711618423462
43,5,1,2.5102860927581787
44,5,1,2.520697593688965
45,5,1,2.632162570953369
46,5,1,2.535325050354004
47,5,1,2.5327627658843994
48,5,1,2.654885053634644
49,5,1,2.535680055618286
50,5,1,2.5035383701324463
51,5,1,2.598477363586426
52,5,1,2.506587266921997
53,5,1,2.5051965713500977
54,5,1,2.508211851119995
55,5,1,2.638593435287476
